conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
43,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
44,87808,98304,1664,384, ,0.200704,0.524288, ,7.0,3.0, ,5120,32768,1,3, ,63,2980,401408,0.4833286830357143,0.09821428571428571,194012,39424, ,401408.0,194012.0,459611.6, ,200704.0,97006.0,229805.8, ,100352.0,48503.0,114902.9, ,50176.0,39424.0,62003.2, , ,0.4833286830357143,0.4833286830357143,0.4833286830357143,0.7857142857142857, ,0.08577677325811621,0.17155354651623242,0.34310709303246484,0.6358381502890174
45,53248,147456,896,128, ,0.100352,2.359296, ,8.489795918367347,1.0, ,6272,18432,8,1, ,64,3150,451584,0.44990079365079366,0.3441751700680272,203168,155424, ,451584.0,203168.0,593801.6, ,225792.0,155424.0,334588.8, ,112896.0,155424.0,234451.2, ,56448.0,155424.0,194937.6, , ,0.44990079365079366,0.6883503401360545,1.376700680272109,2.753401360544218, ,0.261743989911782,0.46452242274696587,0.6629268692162804,0.7973012902590367
46,34496,65536,2048,512, ,0.025088,1.048576, ,22.0,1.0, ,2048,65536,1,1, ,44,2320,200704,0.5398596938775511,0.36814413265306123,108352,73888, ,200704.0,108352.0,276550.4, ,100352.0,73888.0,152073.6, ,50176.0,73888.0,109011.2, ,25088.0,73888.0,91449.6, , ,0.5398596938775511,0.7362882653061225,1.472576530612245,2.94515306122449, ,0.267177339103469,0.48586999978957557,0.6778019139317795,0.8079641682413045
47,200704,131072,3584,512, ,0.200704,2.097152, ,16.0,1.0, ,12544,8192,16,1, ,128,2620,401408,0.8510841836734694,0.3746811224489796,341632,150400, ,401408.0,341632.0,640550.4, ,200704.0,170816.0,320275.2, ,100352.0,150400.0,220646.4, ,50176.0,150400.0,185523.2, , ,0.8510841836734694,0.8510841836734694,1.4987244897959184,2.997448979591837, ,0.23479807365665528,0.46959614731331056,0.6816336001856365,0.8106802814957913
48,37632,65536,512,128, ,0.100352,1.048576, ,6.0,1.0, ,8192,65536,1,1, ,36,2880,200704,0.5243941326530612,0.36623086734693877,105248,73504, ,200704.0,105248.0,274377.6, ,100352.0,73504.0,151804.8, ,50176.0,73504.0,108627.2, ,25088.0,73504.0,91065.6, , ,0.5243941326530612,0.7324617346938775,1.464923469387755,2.92984693877551, ,0.2678935889810247,0.48420076308522525,0.6766629352501031,0.8071544029798299
49,13824,147456,896,128, ,0.025088,2.359296, ,8.816326530612244,1.0, ,1568,18432,8,1, ,64,2534,451584,0.36259920634920634,0.33375850340136054,163744,150720, ,451584.0,163744.0,566204.8, ,225792.0,150720.0,331296.0, ,112896.0,150720.0,229747.2, ,56448.0,150720.0,190233.6, , ,0.36259920634920634,0.6675170068027211,1.3350340136054422,2.6700680272108843, ,0.2661934338952972,0.45494059692842653,0.6560254053150593,0.792289059345983
50,34496,65536,2048,512, ,0.025088,1.048576, ,22.0,1.0, ,2048,65536,1,1, ,44,2320,200704,0.5398596938775511,0.36814413265306123,108352,73888, ,200704.0,108352.0,276550.4, ,100352.0,73888.0,152073.6, ,50176.0,73888.0,109011.2, ,25088.0,73888.0,91449.6, , ,0.5398596938775511,0.7362882653061225,1.472576530612245,2.94515306122449, ,0.267177339103469,0.48586999978957557,0.6778019139317795,0.8079641682413045
51,37632,65536,512,128, ,0.100352,1.048576, ,6.0,1.0, ,8192,65536,1,1, ,36,2880,200704,0.5243941326530612,0.36623086734693877,105248,73504, ,200704.0,105248.0,274377.6, ,100352.0,73504.0,151804.8, ,50176.0,73504.0,108627.2, ,25088.0,73504.0,91065.6, , ,0.5243941326530612,0.7324617346938775,1.464923469387755,2.92984693877551, ,0.2678935889810247,0.48420076308522525,0.6766629352501031,0.8071544029798299
52,13824,147456,896,128, ,0.025088,2.359296, ,8.816326530612244,1.0, ,1568,18432,8,1, ,64,2534,451584,0.36259920634920634,0.33375850340136054,163744,150720, ,451584.0,163744.0,566204.8, ,225792.0,150720.0,331296.0, ,112896.0,150720.0,229747.2, ,56448.0,150720.0,190233.6, , ,0.36259920634920634,0.6675170068027211,1.3350340136054422,2.6700680272108843, ,0.2661934338952972,0.45494059692842653,0.6560254053150593,0.792289059345983
