conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
44,768,4608,448,64, ,0.006272,0.036864, ,1.9591836734693877,2.0, ,392,1152,2,1, ,4,1456,28224,0.2619047619047619,0.13945578231292516,7392,3936, ,28224.0,7392.0,30441.6, ,14112.0,3936.0,15292.8, ,7056.0,3936.0,8236.8, ,3528.0,3936.0,4994.4, , ,0.2619047619047619,0.2789115646258503,0.5578231292517006,1.1156462585034013, ,0.1292967518133081,0.2573760200878845,0.4778554778554779,0.7880826525708794
45,12936,12672,416,96, ,0.103488,0.067584, ,2.0,3.0, ,2640,4224,1,3, ,12,2168,51744,0.5330859616573902,0.2387909709338281,27584,12356, ,51744.0,27584.0,60019.2, ,25872.0,13792.0,30009.6, ,12936.0,12356.0,16642.8, ,6468.0,12356.0,14296.4, , ,0.5330859616573902,0.5330859616573902,0.9551638837353124,1.9103277674706247, ,0.20586745574749415,0.4117349114949883,0.7424231499507294,0.8642735234044935
46,5096,6656,128,32, ,0.040768,0.106496, ,2.0,1.0, ,3328,6656,1,1, ,6,1980,20384,0.6020408163265306,0.4723312401883831,12272,9628, ,20384.0,12272.0,28974.4, ,10192.0,9628.0,16931.6, ,5096.0,9628.0,13195.2, ,2548.0,9628.0,11411.6, , ,0.6020408163265306,0.9446624803767661,1.8893249607535323,3.7786499215070646, ,0.3322933348058976,0.5686408844999883,0.7296592700375893,0.843702898804725
47,7644,13312,256,64, ,0.040768,0.212992, ,3.0,1.0, ,3328,13312,1,1, ,9,2356,40768,0.5393445839874411,0.4098312401883831,21988,16708, ,40768.0,21988.0,56159.6, ,20384.0,16708.0,32079.6, ,10192.0,16708.0,23842.4, ,5096.0,16708.0,20275.2, , ,0.5393445839874411,0.8196624803767661,1.6393249607535323,3.2786499215070646, ,0.29750924151881425,0.5208294367760197,0.7007683790222461,0.8240609217171717
48,5096,8320,160,40, ,0.040768,0.13312, ,2.0,1.0, ,3328,8320,1,1, ,6,2262,25480,0.551883830455259,0.44733124018838305,14062,11398, ,25480.0,14062.0,35323.4, ,12740.0,11398.0,20718.6, ,6370.0,11398.0,15857.0, ,3185.0,11398.0,13627.5, , ,0.551883830455259,0.8946624803767661,1.7893249607535322,3.5786499215070644, ,0.32267562012716783,0.5501336962922205,0.718799268461878,0.8363969913777288
49,2700,28800,560,80, ,0.00784,0.4608, ,5.510204081632653,1.0, ,490,5760,5,1, ,15,2137,88200,0.374546485260771,0.3385487528344671,33035,29860, ,88200.0,33035.0,111324.5, ,44100.0,29860.0,65002.0, ,22050.0,29860.0,45295.0, ,11025.0,29860.0,37577.5, , ,0.374546485260771,0.6770975056689342,1.3541950113378685,2.708390022675737, ,0.2682248741292348,0.45937048090827975,0.6592339110277072,0.7946244428181758
50,2548,1664,32,8, ,0.040768,0.026624, ,1.0,1.0, ,3328,1664,1,1, ,2,2122,5096,0.8520408163265306,0.847331240188383,4342,4318, ,5096.0,4342.0,7267.0, ,2548.0,4318.0,5592.0, ,1274.0,4318.0,4955.0, ,637.0,4318.0,4636.5, , ,0.8520408163265306,1.694662480376766,3.389324960753532,6.778649921507064, ,0.5941929269299573,0.7721745350500715,0.8714429868819374,0.9313059419820986
51,108,2304,224,32, ,0.001568,0.036864, ,1.1020408163265305,1.0, ,98,2304,1,1, ,1,2636,7056,0.42913832199546487,0.3866213151927438,3028,2728, ,7056.0,3028.0,9175.6, ,3528.0,2728.0,5437.6, ,1764.0,2728.0,3962.8, ,882.0,2728.0,3345.4, , ,0.42913832199546487,0.7732426303854876,1.5464852607709751,3.0929705215419503, ,0.2973102576398274,0.5016919229071649,0.68840213990108,0.8154480779577927
52,10192,19968,384,96, ,0.040768,0.319488, ,4.0,1.0, ,3328,19968,1,1, ,12,2545,61152,0.5186420722135008,0.3889979068550497,31716,23788, ,61152.0,31716.0,83353.2, ,30576.0,23788.0,47227.6, ,15288.0,23788.0,34489.6, ,7644.0,23788.0,29138.8, , ,0.5186420722135008,0.7779958137100994,1.5559916274201988,3.1119832548403976, ,0.28538796350949935,0.5036885211190067,0.6897151605121544,0.8163685532691807
53,5096,9984,192,48, ,0.040768,0.159744, ,2.0,1.0, ,3328,9984,1,1, ,6,2545,30576,0.5186420722135008,0.4306645735217164,15858,13168, ,30576.0,15858.0,41676.6, ,15288.0,13168.0,24505.6, ,7644.0,13168.0,18518.8, ,3822.0,13168.0,15843.4, , ,0.5186420722135008,0.8613291470434328,1.7226582940868655,3.445316588173731, ,0.31595667592845866,0.5373465656829459,0.7110611918698836,0.8311347311814383
